,algo,modularity - real,modularity - algo,jaccard,graph_conductance,graph_sensitivity,graph_accuracy,num communities - real,num communities - algo,num_coms_divided,num_coms_skipped,time-sec
0,Louvain,0.3623917516138475,0.34988221780830636,0.4079620065917525,0.41592472929242685,0.943,0.7490560726674605,29,17,,,0.3775750000000002
1,louvain-ILP-num_com_bound 100,0.3623917516138475,0.3588263276458905,0.584375,0.41065674535488483,0.969,0.8502199715367782,29,21,,,1.2330007000000016
2,louvain-ILP-num_com_bound 150,0.3623917516138475,0.36331825994795164,0.670937184564019,0.4102690555476023,0.984,0.8905638663229044,29,22,,,1.7731996000000017
3,louvain-ILP-num_com_bound 200,0.3623917516138475,0.3626748367717303,0.5687786156746566,0.4168843902734132,0.975,0.8314294918993432,29,19,,,2.0062057000000024
