,algo,modularity - real,modularity - algo,jaccard,graph_conductance,graph_sensitivity,graph_accuracy,num communities - real,num communities - algo,num_coms_divided,num_coms_skipped,time-sec
0,Louvain,0.3960542363928347,0.40594662668600284,0.19323052954875908,0.42244057784024647,0.9978,0.5131465872438401,307,60,,,2.1303398000000016
1,louvain-ILP-num_com_bound 100,0.3960542363928347,0.4061945833670018,0.18735296687544864,0.422970334930601,0.9985,0.5109870350605776,307,59,,,13.219456800000017
2,louvain-ILP-num_com_bound 150,0.3960542363928347,0.4060768472134535,0.18933968611497026,0.4225182946754088,0.9977,0.5162225004782337,307,60,,,257.8581023
3,louvain-ILP-num_com_bound 200,0.3960542363928347,0.4060223405557553,0.1966202586833309,0.42217026500558097,0.9976,0.520239252652085,307,61,,,30.459038899999996
