,algo,modularity - real,modularity - algo,jaccard,graph_conductance,graph_sensitivity,graph_accuracy,num communities - real,num communities - algo,num_coms_divided,num_coms_skipped,time-sec
0,Louvain,0.46495360358780435,0.4651607034310198,0.8853793029605439,0.5034059728315374,0.998,0.9628821319351606,31,28,,,0.10424309999999082
1,louvain-ILP-num_com_bound 100,0.46495360358780435,0.46330633971886215,0.8795727636849132,0.5020903265099804,0.996,0.9588055068677902,31,28,,,1.6288556999999884
2,louvain-ILP-num_com_bound 150,0.46495360358780435,0.46122520996237726,0.7670686456400743,0.5035490347331621,0.998,0.9419246254345408,31,27,,,0.40384299999999484
3,louvain-ILP-num_com_bound 200,0.46495360358780435,0.46460010072342295,0.832771035802407,0.504558535333034,0.998,0.9477341399358788,31,27,,,0.4168379999999985
