,algo,modularity - real,modularity - algo,jaccard,graph_conductance,graph_sensitivity,graph_accuracy,num communities - real,num communities - algo,num_coms_divided,num_coms_skipped,time-sec
0,Louvain,0.36397792374744437,0.35981010641316424,0.595850499202019,0.409168068467909,0.964,0.8559439233968543,30,22,,,0.12439220000000084
1,louvain-ILP-num_com_bound 100,0.36397792374744437,0.3646981956578244,0.7441901564018732,0.4077276161400174,0.987,0.9099961538380258,30,24,,,0.47851350000000004
2,louvain-ILP-num_com_bound 150,0.36397792374744437,0.36237594827374575,0.672879851529089,0.4085607739470458,0.984,0.8877972741566624,30,23,,,0.42999840000000056
3,louvain-ILP-num_com_bound 200,0.36397792374744437,0.3621524371189948,0.6456384768911674,0.4086446317799267,0.976,0.877532905365947,30,23,,,0.5609900000000003
