,algo,modularity - real,modularity - algo,jaccard,graph_conductance,graph_sensitivity,graph_accuracy,num communities - real,num communities - algo,num_coms_divided,num_coms_skipped,time-sec
0,Louvain,0.5661400440112812,0.5661400440112812,1.0,0.6011001779687457,1.0,1.0,31,31,,,0.09779360000000281
1,louvain-ILP-num_com_bound 100,0.5661400440112812,0.5661400440112812,1.0,0.6011001779687456,1.0,1.0,31,31,,,0.47578860000000134
2,louvain-ILP-num_com_bound 150,0.5661400440112812,0.5661400440112812,1.0,0.6011001779687457,1.0,1.0,31,31,,,0.6060678999999993
3,louvain-ILP-num_com_bound 200,0.5661400440112812,0.5661400440112812,1.0,0.6011001779687457,1.0,1.0,31,31,,,0.3463696999999968
