,algo,modularity - real,modularity - algo,jaccard,graph_conductance,graph_sensitivity,graph_accuracy,num communities - real,num communities - algo,num_coms_divided,num_coms_skipped,time-sec
0,Louvain,0.46494151060688893,0.4648632819028887,0.8602106969205835,0.5045386975083059,1.0,0.9581231653602788,30,27,,,0.11112269999999569
1,louvain-ILP-num_com_bound 100,0.46494151060688893,0.4652479049601614,0.9214409722222222,0.5030039745847085,1.0,0.9746794344808963,30,28,,,0.5418933999999922
2,louvain-ILP-num_com_bound 150,0.46494151060688893,0.4643957630403862,0.8631783540483863,0.5034273866602403,0.997,0.9592867141788215,30,27,,,0.4171292000000051
3,louvain-ILP-num_com_bound 200,0.46494151060688893,0.4644003206247998,0.8513085849198774,0.5039800995334647,0.999,0.9555553359172875,30,27,,,0.6119494999999944
