,algo,modularity - real,modularity - algo,jaccard,graph_conductance,graph_sensitivity,graph_accuracy,num communities - real,num communities - algo,num_coms_divided,num_coms_skipped,time-sec
0,Louvain,0.46359903762614874,0.46173014054175404,0.7048442064264849,0.5054279450960673,1.0,0.9262828941527529,30,25,,,0.14401569999999708
1,louvain-ILP-num_com_bound 100,0.46359903762614874,0.4636723240291437,0.8193899266966186,0.5039970501946027,0.999,0.948735474197102,30,26,,,0.7833135000000055
2,louvain-ILP-num_com_bound 150,0.46359903762614874,0.4624799346867431,0.7772458840372226,0.5046669126659008,1.0,0.9348796714016194,30,25,,,0.42923389999999984
3,louvain-ILP-num_com_bound 200,0.46359903762614874,0.4637889854762127,0.8227410494411821,0.5040917065249964,1.0,0.9497368056467013,30,26,,,0.3818212999999986
