,algo,modularity - real,modularity - algo,jaccard,graph_conductance,graph_sensitivity,graph_accuracy,num communities - real,num communities - algo,num_coms_divided,num_coms_skipped,time-sec
0,Louvain,0.36371728412009063,0.3607024185031727,0.5382823577071095,0.41033381513429845,0.943,0.8211242293343924,30,21,,,0.4325929999999971
1,louvain-ILP-num_com_bound 100,0.36371728412009063,0.350308209773541,0.5196001232496833,0.4013264637613946,0.914,0.8162756887228726,30,21,,,9.801576699999998
2,louvain-ILP-num_com_bound 150,0.36371728412009063,0.36103695271084174,0.5494298463063957,0.4146255489958729,0.974,0.8339280544507421,30,20,,,7.963744499999997
3,louvain-ILP-num_com_bound 200,0.36371728412009063,0.3581694638404064,0.5087893121963692,0.41094570095405836,0.951,0.812400147710474,30,20,,,18.213729799999996
